bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
True,Bookkeeping,0,0,0,,342,342,aay,aari1240,"{""iso_retirement"": {""code"": ""aay"", ""name"": ""Aariya"", ""change_request"": ""2008-001"", ""effective"": ""2009-01-16"", ""reason"": ""non-existent"", ""change_to"": [], ""remedy"": null, ""comment"": ""The only reference for this language is\n\n\nHugoniot, Richard.1970. A bibliographical Index of the Lesser Known Languages\nand Dialects of India and Nepal. Waxhaw: Summer Institute of Linguistics.\n\n\nHugoniot's source was [Madhya Pradesh Dept. of Tribal Welfare, The Tribes of\nMadhya Pradesh, Bhopal 1964.] Aariya was listed as a Scheduled Tribe at that\ntime but not listed in the more recent Anthropological Society of India research\non peoples of India edited by K.S. Singh. Surveyors in the area in 2004 found\nnobody who had even heard of this language.""}, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q4661732"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aariya_language"", ""label"": null}], ""meds"": [[""500083"", ""wordlist_or_less"", 2008, 0, ""ISO 639-3 Registration Authority 2008""]]}",,language,,Eurasia,,Aariya,'Aariya [aari1240][aay]-l-':1,1427
False,Spoken L1 Language,3,0,0,,300,1091,abq,abaz1241,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/abq"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/1415"", ""label"": ""Abaza""}, {""url"": ""https://en.wikipedia.org/wiki/Abaza_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_abz"", ""label"": ""Abaza""}, {""url"": ""https://www.wikidata.org/entity/Q27567"", ""label"": null}], ""meds"": [[""304081"", ""long_grammar"", 1976, 350, ""N. T. Tabulova 1976""], [""88213"", ""grammar"", 1955, 207, ""Genko, Anatolij N. 1955""], [""306773"", ""grammar_sketch"", 1954, 0, ""K. Lomatidze 1954""], [""565632"", ""wordlist_or_less"", 1814, 0, ""Klaproth, Julius 1814""]]}",44.25,language,42.0,Eurasia,,Abaza,"('Ashkaraua [ashk1247]':1,'Bezshagh [bezs1238]':1,'Tapanta [tapa1256]':1)'Abaza [abaz1241][abq]-l-':1",3005
False,Spoken L1 Language,3,0,0,,300,1091,abk,abkh1244,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/ab"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Abkhaz_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/abkh1244"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_abk"", ""label"": ""Abkhaz""}, {""url"": ""https://www.wikidata.org/entity/Q5111"", ""label"": null}], ""meds"": [[""583578"", ""long_grammar"", 2002, 420, ""\u0160ota K. Ar\u015ftaa; Lidija P. \u01e6kadua 2002""], [""48696"", ""grammar"", 1979, 288, ""George B. Hewitt 1979""], [""320555"", ""grammar"", 1968, 204, ""Aristava, \u0160. K. 1968""], [""302078"", ""grammar"", 1887, 157, ""Uslar, Petr K. 1887""]]}",43.056218,language,41.159115,Eurasia,,Abkhaz,"('Abzhui [abzh1238]':1,'Bzyb [bzyb1238]':1,'Samurzakan [samu1242]':1)'Abkhaz [abkh1244][abk]-l-':1",3006
False,Spoken L1 Language,3,0,0,,351,12637,acn,acha1249,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/acn"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/3255"", ""label"": ""Xiandao""}, {""url"": ""https://en.wikipedia.org/wiki/Achang_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/acha1249"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_acn"", ""label"": ""Achang""}, {""url"": ""https://www.wikidata.org/entity/Q56582"", ""label"": null}], ""meds"": [[""322078"", ""long_grammar"", 2005, 335, ""Dai, Qingxia 2005""], [""62425"", ""grammar"", 1985, 135, ""Dai, Chuangxia 1985""], [""300641"", ""phonology_or_text"", 1983, 12, ""Dai, Qingxia and Cui, Zhichao 1983""], [""439579"", ""wordlist_or_less"", 1909, 21, ""Davies, Henry R. 1909""]]}",24.3479,language,97.7438,Eurasia,,Longchuan Achang,"('Longchuan [long1373]':1,'Maingtha [main1270]':1,'Xiandao [xian1249][xia]':1)'Longchuan Achang [acha1249][acn]-l-':1",15234
False,Spoken L1 Language,0,0,0,,351,15230,yif,ache1244,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q10949828"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Ache_Yi_language"", ""label"": null}], ""meds"": [[""308671"", ""wordlist_or_less"", 2011, 52, ""Thomas Shawn Mullaney 2011""], [""500706"", ""wordlist_or_less"", 2007, 0, ""ISO 639-3 Registration Authority 2007""], [""305387"", ""wordlist_or_less"", 1954, 0, ""Yunnan Sheng Minzu Shibie Yanjiuzu 1954""]]}",24.152,language,102.446,Eurasia,,Ache,'Ache [ache1244][yif]-l-':1,17748
True,Bookkeeping,0,0,0,,342,342,adp,adap1234,"{""iso_retirement"": {""code"": ""adp"", ""name"": ""Adap"", ""change_request"": ""2014-049"", ""effective"": ""2015-01-12"", ""reason"": ""merge"", ""change_to"": [""dzo""], ""remedy"": ""Merged into [dzo] Dzongkha"", ""comment"": null}, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q3512402"", ""label"": null}], ""meds"": [[""500978"", ""wordlist_or_less"", 2014, 0, ""ISO 639-3 Registration Authority 2014""]]}",27.141,language,90.3369,Eurasia,,Adap,'Adap [adap1234][adp]-l-':1,1213
False,Spoken L1 Language,0,0,0,,273,15095,NOCODE_Adhari,adha1238,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Adhari"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""There are attestations of an earlier Northwestern Iranian language in Azerbaijan\n(**hh:vld:Yarshater:Adhari**, **hh:w:Sadeqi:Azerbaijan**, **hh:wld:Mortazavi:Diri-Azerbayjan**)\nwhich we may call Adhari. Though modern languages likely descendant from Adhari are in E16/E17/E18/E19/E20/E21/E22/E23/E24, Adhari itself is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24.""}, ""links"": [{""url"": ""https://en.wikipedia.org/wiki/Old_Azeri"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q434697"", ""label"": null}], ""meds"": [[""319857"", ""wordlist_or_less"", 2005, 36, ""Man\u016b\u010dehr-e Morta\u1e0dav\u012b 1384 [2005]""], [""320061"", ""wordlist_or_less"", 2002, 20, ""Sadeqi, Ali Ashraf 2002""], [""320672"", ""wordlist_or_less"", 1987, 4, ""Ehsan Yarshater 1987""]]}",40.05,language,48.06,Eurasia,,Adhari,'Adhari [adha1238]-l-':1,17618
False,Spoken L1 Language,0,0,0,,273,12406,ort,adiv1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q12953791"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_oko"", ""label"": ""Oriya (Kotia)""}], ""meds"": [[""548944"", ""long_grammar"", 1989, 328, ""Dukhishyam Gauda 1989""], [""136367"", ""grammar_sketch"", 1978, 15, ""Gustafsson, Uwe 1978""], [""155381"", ""grammar_sketch"", 1973, 0, ""Trail, Ronald L. 1973""], [""548308"", ""wordlist_or_less"", 1964, 8, ""D. Dasgupta 1964""]]}",18.1046,language,82.8487,Eurasia,,Kotia-Adivasi Oriya-Desiya,'Kotia-Adivasi Oriya-Desiya [adiv1239][ort]-l-':1,15042
False,Spoken L1 Language,0,0,0,,273,14973,gas,adiw1235,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q12953522"", ""label"": null}], ""meds"": [[""309620"", ""phonology_or_text"", 1907, 3, ""George A. Grierson 1907""]]}",24.0712,language,73.1426,Eurasia,,Adiwasi Garasia,'Adiwasi Garasia [adiw1235][gas]-l-':1,17465
False,Speech Register,0,0,0,,99,640,NOCODE_Adurgari,adur1234,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q4685993"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Adurgari"", ""label"": null}], ""meds"": [[""581358"", ""wordlist_or_less"", 1961, 16, ""Iosif M. Oranskij 1961""]]}",33.79,language,69.32,Eurasia,,Adurgari,'Adurgari [adur1234]-l-':1,2286
